CASE_ID,CUSTOMER_ID,CASE_DATE,PRODUCT,ISSUE_CATEGORY,ISSUE_SUMMARY,RESOLUTION_SUMMARY,REP_NAME,STATUS,PRIORITY
CASE-00011,CUST-0044,2026-01-11,CloudStore Platform,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Carlos Garcia,Escalated,High
CASE-00012,CUST-0018,2025-12-09,DataSync Pro,Feature Request,Customer wants automated anomaly detection alerts on their key business metrics.,Logged feature request FR-4602. Demonstrated how to set up threshold-based alerts as an interim solution using existing notification rules.,Aisha Johnson,Resolved,Medium
CASE-00013,CUST-0010,2026-01-03,DataSync Pro,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Emma Thompson,Open,High
CASE-00014,CUST-0038,2026-01-21,SecureVault,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Rachel Foster,Resolved,Critical
CASE-00015,CUST-0006,2025-12-07,CloudStore Platform,Billing,Customer charged twice for monthly subscription renewal.,Confirmed duplicate charge in payment system. Issued immediate refund for the duplicate transaction and added a billing flag to prevent recurrence.,Aisha Johnson,Escalated,High
CASE-00016,CUST-0025,2026-01-18,API Gateway,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Sarah Chen,Open,Medium
CASE-00017,CUST-0044,2026-02-07,SecureVault,Feature Request,Customer wants automated anomaly detection alerts on their key business metrics.,Logged feature request FR-4602. Demonstrated how to set up threshold-based alerts as an interim solution using existing notification rules.,Priya Patel,Resolved,Low
CASE-00018,CUST-0001,2026-01-03,API Gateway,Billing,Usage-based charges not matching customer's internal tracking metrics.,Audited the metering logs and found a discrepancy in how API calls were counted. Corrected the metering configuration and issued a credit adjustment.,Emma Thompson,Resolved,Medium
CASE-00019,CUST-0010,2026-01-17,DataSync Pro,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Sarah Chen,Resolved,Medium
CASE-00020,CUST-0024,2026-01-09,DataSync Pro,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Mike Rodriguez,Open,Medium
CASE-00021,CUST-0047,2026-02-01,CloudStore Platform,Billing,Usage-based charges not matching customer's internal tracking metrics.,Audited the metering logs and found a discrepancy in how API calls were counted. Corrected the metering configuration and issued a credit adjustment.,Rachel Foster,Resolved,Low
CASE-00022,CUST-0017,2026-02-06,API Gateway,Configuration,Role-based access control rules not being applied correctly to new team members.,"Found a caching issue with the RBAC policy engine. Cleared the policy cache, corrected the role hierarchy, and verified permissions for all affected users.",James Wilson,Open,Critical
CASE-00023,CUST-0026,2026-02-24,SecureVault,Security,Vulnerability scan showing outdated TLS version on the customer's dedicated endpoint.,Upgraded the TLS configuration from 1.1 to 1.3 on the customer's dedicated endpoint. Ran compliance scan to verify all cipher suites meet current security standards.,Mike Rodriguez,Resolved,High
CASE-00024,CUST-0015,2025-12-09,SecureVault,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,Tom Martinez,Resolved,Medium
CASE-00025,CUST-0001,2025-12-10,CloudStore Platform,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Carlos Garcia,Resolved,Low
CASE-00026,CUST-0033,2025-12-31,SecureVault,Security,Customer requesting SOC 2 compliance documentation for their annual audit.,Provided the current SOC 2 Type II report and compliance attestation. Scheduled a call with our security team to address specific audit questions and control mappings.,Tom Martinez,Resolved,Medium
CASE-00027,CUST-0016,2026-01-30,AnalyticsHub,Data Loss,Data synchronization failure resulted in partial data in the staging environment.,Identified a network interruption during sync. Ran a full resynchronization and implemented checksum validation to detect partial transfers in the future.,Aisha Johnson,In Progress,Low
CASE-00028,CUST-0028,2026-01-22,AnalyticsHub,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Mike Rodriguez,In Progress,High
CASE-00029,CUST-0026,2026-01-13,CloudStore Platform,Data Loss,Accidental deletion of a shared workspace containing critical project files.,Recovered the workspace from the 30-day soft-delete retention. Restored all files and permissions. Recommended enabling workspace deletion protection for critical workspaces.,David Kim,Open,Low
CASE-00030,CUST-0028,2025-12-24,SecureVault,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",David Kim,Resolved,Medium
CASE-00031,CUST-0004,2026-02-22,API Gateway,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,James Wilson,Escalated,Critical
CASE-00032,CUST-0027,2026-02-01,AnalyticsHub,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Priya Patel,Resolved,High
CASE-00033,CUST-0001,2026-01-19,SecureVault,Security,Customer requesting SOC 2 compliance documentation for their annual audit.,Provided the current SOC 2 Type II report and compliance attestation. Scheduled a call with our security team to address specific audit questions and control mappings.,Rachel Foster,In Progress,Medium
CASE-00034,CUST-0010,2025-12-25,SecureVault,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Rachel Foster,Open,Critical
CASE-00035,CUST-0048,2026-01-10,CloudStore Platform,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,Rachel Foster,Open,Medium
CASE-00036,CUST-0004,2026-02-04,CloudStore Platform,Billing,Auto-renewal processed despite customer requesting cancellation two weeks prior.,"Found the cancellation request was logged but not processed due to a workflow error. Processed the cancellation, issued a full refund, and escalated the workflow bug to engineering.",James Wilson,Resolved,Low
CASE-00037,CUST-0008,2026-02-11,DataSync Pro,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Tom Martinez,Resolved,High
CASE-00038,CUST-0017,2025-12-27,SecureVault,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Emma Thompson,Resolved,Medium
CASE-00039,CUST-0021,2025-12-10,CloudStore Platform,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Mike Rodriguez,Open,High
CASE-00040,CUST-0035,2025-12-28,API Gateway,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,Mike Rodriguez,Resolved,Low
CASE-00041,CUST-0024,2026-01-06,DataSync Pro,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Emma Thompson,In Progress,High
CASE-00042,CUST-0043,2026-02-09,SecureVault,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Emma Thompson,Resolved,Critical
CASE-00043,CUST-0007,2026-02-09,DataSync Pro,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,Carlos Garcia,Resolved,Medium
CASE-00044,CUST-0044,2026-02-20,SecureVault,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Sarah Chen,Escalated,Medium
CASE-00045,CUST-0041,2026-01-24,SecureVault,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Priya Patel,Escalated,Low
CASE-00046,CUST-0011,2026-01-26,API Gateway,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,Mike Rodriguez,Resolved,Medium
CASE-00047,CUST-0035,2025-12-05,SecureVault,Billing,Invoice showing charges for a plan tier the customer did not subscribe to.,"Identified a plan migration error during the last billing cycle. Corrected the subscription record, regenerated the invoice, and applied the price difference as credit.",Emma Thompson,Resolved,Medium
CASE-00048,CUST-0003,2026-01-15,DataSync Pro,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,Rachel Foster,Resolved,High
CASE-00049,CUST-0040,2025-12-20,DataSync Pro,Billing,Auto-renewal processed despite customer requesting cancellation two weeks prior.,"Found the cancellation request was logged but not processed due to a workflow error. Processed the cancellation, issued a full refund, and escalated the workflow bug to engineering.",Priya Patel,Escalated,Critical
CASE-00050,CUST-0002,2025-12-23,SecureVault,Configuration,Role-based access control rules not being applied correctly to new team members.,"Found a caching issue with the RBAC policy engine. Cleared the policy cache, corrected the role hierarchy, and verified permissions for all affected users.",James Wilson,Escalated,High
CASE-00051,CUST-0011,2026-02-28,CloudStore Platform,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,David Kim,Escalated,High
CASE-00052,CUST-0013,2026-01-28,SecureVault,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,James Wilson,Escalated,High
CASE-00053,CUST-0002,2026-02-23,DataSync Pro,Configuration,Role-based access control rules not being applied correctly to new team members.,"Found a caching issue with the RBAC policy engine. Cleared the policy cache, corrected the role hierarchy, and verified permissions for all affected users.",Mike Rodriguez,Escalated,Medium
CASE-00054,CUST-0023,2026-02-21,API Gateway,Configuration,Role-based access control rules not being applied correctly to new team members.,"Found a caching issue with the RBAC policy engine. Cleared the policy cache, corrected the role hierarchy, and verified permissions for all affected users.",Rachel Foster,Escalated,High
CASE-00055,CUST-0002,2025-12-15,SecureVault,Billing,Customer charged twice for monthly subscription renewal.,Confirmed duplicate charge in payment system. Issued immediate refund for the duplicate transaction and added a billing flag to prevent recurrence.,Sarah Chen,Resolved,Medium
CASE-00056,CUST-0039,2026-01-25,SecureVault,Feature Request,Customer wants automated anomaly detection alerts on their key business metrics.,Logged feature request FR-4602. Demonstrated how to set up threshold-based alerts as an interim solution using existing notification rules.,Mike Rodriguez,Open,Medium
CASE-00057,CUST-0037,2025-12-25,SecureVault,Login/Authentication,SSO integration failing with SAML assertion errors for enterprise account.,Updated the SAML certificate that had expired. Reconfigured the IdP metadata URL and validated the assertion consumer service endpoint.,Rachel Foster,Resolved,High
CASE-00058,CUST-0024,2026-01-25,CloudStore Platform,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,Mike Rodriguez,In Progress,High
CASE-00059,CUST-0033,2026-01-09,AnalyticsHub,Feature Request,Enterprise customer needs role-based dashboard access with granular permissions.,Documented the detailed requirements and submitted to product backlog as high-priority item. Implemented a temporary solution using workspace-level access controls.,Rachel Foster,Resolved,Medium
CASE-00060,CUST-0013,2026-01-23,AnalyticsHub,Billing,Customer charged twice for monthly subscription renewal.,Confirmed duplicate charge in payment system. Issued immediate refund for the duplicate transaction and added a billing flag to prevent recurrence.,Aisha Johnson,Resolved,High
CASE-00061,CUST-0020,2026-01-06,DataSync Pro,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Carlos Garcia,Open,High
CASE-00062,CUST-0029,2026-01-26,DataSync Pro,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Priya Patel,Escalated,High
CASE-00063,CUST-0019,2026-02-04,API Gateway,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,James Wilson,Escalated,Low
CASE-00064,CUST-0015,2025-12-26,DataSync Pro,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Tom Martinez,Resolved,Low
CASE-00065,CUST-0030,2026-01-23,API Gateway,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,David Kim,Resolved,High
CASE-00066,CUST-0016,2025-12-19,CloudStore Platform,Performance,Search functionality returning results very slowly across the entire organization's workspace.,Rebuilt the search index which had become fragmented. Applied index optimization and increased the allocated search compute resources.,Priya Patel,Resolved,High
CASE-00067,CUST-0004,2026-02-10,DataSync Pro,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,David Kim,Escalated,Medium
CASE-00068,CUST-0049,2026-01-26,API Gateway,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,David Kim,Open,High
CASE-00069,CUST-0048,2026-01-30,AnalyticsHub,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Emma Thompson,Escalated,High
CASE-00070,CUST-0041,2025-12-31,SecureVault,Security,API keys exposed in a public repository triggering a security alert.,Immediately revoked the compromised API keys and issued new ones. Audited access logs during the exposure window and found no unauthorized usage. Recommended implementing key rotation policies.,James Wilson,Resolved,Low
CASE-00071,CUST-0022,2026-01-10,API Gateway,Performance,API response times spiking during peak business hours causing timeouts in downstream systems.,Analyzed traffic patterns and identified a misconfigured rate limiter. Adjusted connection pooling settings and enabled auto-scaling for the customer's tier.,Aisha Johnson,Resolved,Low
CASE-00072,CUST-0046,2025-12-28,CloudStore Platform,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,David Kim,Open,Medium
CASE-00073,CUST-0004,2025-12-27,AnalyticsHub,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Sarah Chen,Open,Critical
CASE-00074,CUST-0031,2025-12-01,SecureVault,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,Aisha Johnson,Escalated,High
CASE-00075,CUST-0032,2025-12-29,SecureVault,Configuration,Custom domain SSL certificate configuration failing during the verification step.,The customer's DNS CNAME record was pointing to an incorrect verification endpoint. Corrected the DNS entry and completed SSL certificate provisioning.,Carlos Garcia,Resolved,Medium
CASE-00076,CUST-0047,2025-12-22,AnalyticsHub,Billing,Auto-renewal processed despite customer requesting cancellation two weeks prior.,"Found the cancellation request was logged but not processed due to a workflow error. Processed the cancellation, issued a full refund, and escalated the workflow bug to engineering.",Sarah Chen,Open,Critical
CASE-00077,CUST-0038,2026-02-11,CloudStore Platform,Performance,API response times spiking during peak business hours causing timeouts in downstream systems.,Analyzed traffic patterns and identified a misconfigured rate limiter. Adjusted connection pooling settings and enabled auto-scaling for the customer's tier.,David Kim,Resolved,High
CASE-00078,CUST-0004,2026-01-03,AnalyticsHub,Feature Request,Customer wants automated anomaly detection alerts on their key business metrics.,Logged feature request FR-4602. Demonstrated how to set up threshold-based alerts as an interim solution using existing notification rules.,Carlos Garcia,Resolved,Medium
CASE-00079,CUST-0018,2026-01-23,SecureVault,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Rachel Foster,In Progress,Medium
CASE-00080,CUST-0023,2025-12-29,CloudStore Platform,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,James Wilson,Resolved,High
CASE-00081,CUST-0040,2025-12-20,DataSync Pro,Billing,Usage-based charges not matching customer's internal tracking metrics.,Audited the metering logs and found a discrepancy in how API calls were counted. Corrected the metering configuration and issued a credit adjustment.,Tom Martinez,Resolved,Medium
CASE-00082,CUST-0030,2026-02-28,SecureVault,Feature Request,Enterprise customer needs role-based dashboard access with granular permissions.,Documented the detailed requirements and submitted to product backlog as high-priority item. Implemented a temporary solution using workspace-level access controls.,Mike Rodriguez,Open,Low
CASE-00083,CUST-0020,2025-12-14,API Gateway,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,Aisha Johnson,Open,Critical
CASE-00084,CUST-0046,2025-12-26,CloudStore Platform,Data Loss,Customer reports missing records in their database after a scheduled maintenance window.,Investigated and found records were moved to an archive table during maintenance. Restored records to the primary table and adjusted the archival policy settings.,Emma Thompson,Escalated,Low
CASE-00085,CUST-0037,2025-12-06,SecureVault,Configuration,Role-based access control rules not being applied correctly to new team members.,"Found a caching issue with the RBAC policy engine. Cleared the policy cache, corrected the role hierarchy, and verified permissions for all affected users.",Rachel Foster,Resolved,High
CASE-00086,CUST-0001,2026-01-23,AnalyticsHub,Performance,API response times spiking during peak business hours causing timeouts in downstream systems.,Analyzed traffic patterns and identified a misconfigured rate limiter. Adjusted connection pooling settings and enabled auto-scaling for the customer's tier.,David Kim,Resolved,Medium
CASE-00087,CUST-0028,2025-12-23,API Gateway,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,David Kim,Open,High
CASE-00088,CUST-0028,2026-02-14,SecureVault,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,Mike Rodriguez,Escalated,High
CASE-00089,CUST-0029,2026-01-01,AnalyticsHub,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,Carlos Garcia,Resolved,Medium
CASE-00090,CUST-0032,2025-12-28,SecureVault,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,Emma Thompson,Open,Medium
CASE-00091,CUST-0034,2025-12-25,CloudStore Platform,Data Loss,Accidental deletion of a shared workspace containing critical project files.,Recovered the workspace from the 30-day soft-delete retention. Restored all files and permissions. Recommended enabling workspace deletion protection for critical workspaces.,Rachel Foster,Resolved,High
CASE-00092,CUST-0045,2026-01-30,AnalyticsHub,Security,Vulnerability scan showing outdated TLS version on the customer's dedicated endpoint.,Upgraded the TLS configuration from 1.1 to 1.3 on the customer's dedicated endpoint. Ran compliance scan to verify all cipher suites meet current security standards.,Emma Thompson,Resolved,High
CASE-00093,CUST-0026,2026-02-27,DataSync Pro,Integration,Salesforce integration not syncing new contact records created in the last 48 hours.,Found the Salesforce connected app token had expired. Re-authorized the integration and triggered a manual backfill for the missed sync window.,David Kim,Resolved,High
CASE-00094,CUST-0028,2026-02-09,SecureVault,Feature Request,Request for real-time collaboration features in the report builder.,Created feature request FR-4589. Shared the product roadmap timeline showing this feature planned for Q3. Offered early beta access when available.,Emma Thompson,Resolved,High
CASE-00095,CUST-0015,2025-12-16,DataSync Pro,Feature Request,Enterprise customer needs role-based dashboard access with granular permissions.,Documented the detailed requirements and submitted to product backlog as high-priority item. Implemented a temporary solution using workspace-level access controls.,Priya Patel,Open,Low
CASE-00096,CUST-0014,2026-01-31,SecureVault,Integration,Salesforce integration not syncing new contact records created in the last 48 hours.,Found the Salesforce connected app token had expired. Re-authorized the integration and triggered a manual backfill for the missed sync window.,James Wilson,Escalated,Critical
CASE-00097,CUST-0015,2026-01-16,DataSync Pro,Integration,Salesforce integration not syncing new contact records created in the last 48 hours.,Found the Salesforce connected app token had expired. Re-authorized the integration and triggered a manual backfill for the missed sync window.,Priya Patel,Open,Low
CASE-00098,CUST-0003,2025-12-07,API Gateway,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,David Kim,Resolved,High
CASE-00099,CUST-0001,2026-02-12,SecureVault,Security,Customer flagged suspicious login activity from unknown IP addresses on multiple accounts.,"Investigated access logs and confirmed unauthorized access attempts. Forced password reset for affected accounts, enabled geo-based login restrictions, and provided detailed incident report.",Priya Patel,Resolved,Medium
CASE-00100,CUST-0017,2026-01-31,CloudStore Platform,Performance,Dashboard loading times exceeding 30 seconds for reports with large datasets.,Identified inefficient query patterns in custom dashboard widgets. Optimized the underlying queries and implemented result caching. Load times reduced to under 3 seconds.,Tom Martinez,Resolved,Medium
CASE-00101,CUST-0010,2025-12-20,API Gateway,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Mike Rodriguez,Resolved,Low
CASE-00102,CUST-0039,2026-02-15,API Gateway,Data Loss,Export job produced incomplete CSV files missing the last several thousand rows.,Found a memory limit being hit during export serialization. Increased the export buffer size and re-ran the export job with verification checksums.,David Kim,Resolved,High
CASE-00103,CUST-0020,2026-02-14,AnalyticsHub,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,Tom Martinez,Resolved,Medium
CASE-00104,CUST-0049,2025-12-27,DataSync Pro,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,James Wilson,Resolved,High
CASE-00105,CUST-0036,2025-12-10,DataSync Pro,Login/Authentication,Two-factor authentication codes arriving with significant delay making login impossible.,Switched the customer from SMS-based 2FA to authenticator app-based TOTP. Verified time synchronization on the customer's device.,Tom Martinez,In Progress,Medium
CASE-00106,CUST-0019,2025-12-05,DataSync Pro,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,David Kim,In Progress,High
CASE-00107,CUST-0044,2025-12-30,SecureVault,Data Loss,Accidental deletion of a shared workspace containing critical project files.,Recovered the workspace from the 30-day soft-delete retention. Restored all files and permissions. Recommended enabling workspace deletion protection for critical workspaces.,James Wilson,Open,Medium
CASE-00108,CUST-0018,2025-12-19,CloudStore Platform,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Tom Martinez,Resolved,Low
CASE-00109,CUST-0029,2025-12-16,AnalyticsHub,Integration,Custom middleware integration dropping events under high throughput conditions.,Increased the event queue buffer size and implemented dead-letter queue processing. Added monitoring alerts for queue depth thresholds.,Rachel Foster,Resolved,High
CASE-00110,CUST-0029,2025-12-11,API Gateway,Login/Authentication,Account locked after multiple failed login attempts from automated scripts.,Unlocked the account and worked with the customer to implement API key-based authentication for their automated workflows instead of password-based login.,Carlos Garcia,In Progress,High
CASE-00111,CUST-0002,2025-12-12,DataSync Pro,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Emma Thompson,In Progress,Critical
